Outcome (or Indicator),Group,Percentage,Confidence Interval,Title,Description,Year
Regularly experienced chronic pain,Full-time,15.1,"14.4, 15.9","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,Part-time,18.9,"17.0, 20.9","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,Not employed but has worked previously,32.5,"31.4, 33.7","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,Not employed and has never worked,14.1,"10.3, 18.7","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,Less than 100% FPL,31.9,"29.3, 34.5","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,100% to less than 200% FPL,26,"24.4, 27.7","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,200% and greater FPL,19.3,"18.6, 20.0","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,U.S.-born,23.9,"23.1, 24.6","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,Foreign-born,12.1,"11.0, 13.4","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,With disability,62.3,"59.9, 64.7","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,Without disability,17.9,"17.3, 18.5","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,Gay/lesbian,21.3,"16.7, 26.4","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,Straight,21.6,"20.9, 22.2","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,Bisexual,27.7,"22.4, 33.6","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,Little to no social vulnerability,21.4,"20.0, 22.8","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,Low social vulnerability,21.8,"20.6, 23.1","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,Medium social vulnerability,22.2,"21.0, 23.4","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Regularly experienced chronic pain,High social vulnerability,21.4,"20.0, 22.9","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.,2020
Diagnosed diabetes,Total,9.3,"8.9,  9.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Male,9.8,"9.3, 10.4","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Female,8.8,"8.3,  9.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,18-34 years,1.5,"1.1,  1.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,35-49 years,5.5,"4.8,  6.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,50-64 years,12.3,"11.3, 13.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,65 years and over,20.9,"19.8, 22.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,18-44 years,2.4,"2.1,  2.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,45-64 years,11.3,"10.5, 12.1","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,65-74 years,20.6,"19.2, 21.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,75 years and over,21.3,"19.7, 23.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,"White, single race",8.5,"8.1,  8.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,"Black or African American, single race",12.4,"11.1, 13.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,"American Indian or Alaska Native, single race",13.6,"8.5, 20.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,"Asian, single race",9.7,"7.9, 11.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,"Native Hawaiian or Other Pacific Islander, single race",25.5,"12.8, 42.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Black or African American and White,999,,"Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,American Indian or Alaska Native and White,13.1,"7.3, 21.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Hispanic or Latino,10,"8.8, 11.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Mexican or Mexican American,10.7,"9.0, 12.6","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Not Hispanic or Latino,9.2,"8.7,  9.6","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,"Not Hispanic or Latino, White, single race",8.4,"8.0,  8.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,"Not Hispanic or Latino, Black or African American, single race",12.5,"11.1, 13.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,"Other, non-Hispanic",10,"8.5, 11.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Less than high school diploma,17.4,"15.5, 19.5","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,High school diploma or GED,11.3,"10.4, 12.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Some college,11.1,"10.3, 11.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,College degree or higher,6.3,"5.8,  6.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Married,9.5,"9.0, 10.1","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Widowed,21.7,"19.8, 23.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Divorced or separated,13.7,"12.3, 15.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Never married,4.3,"3.8,  4.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Living with a partner,6.2,"4.9,  7.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Large central metro,8.9,"8.1,  9.6","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Large fringe metro,8.2,"7.4,  9.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Medium and small metro,9.4,"8.8, 10.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Nonmetropolitan,12.1,"10.8, 13.5","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Northeast,8.7,"7.8,  9.6","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Midwest,8.7,"7.8,  9.6","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,South,10.6,"9.9, 11.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,West,8.2,"7.5,  9.1","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Large MSA,8.6,"8.0,  9.1","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Small MSA,9.4,"8.7, 10.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Not in MSA,12,"10.7, 13.4","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Private,4.8,"4.4,  5.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Medicaid or other public,10.4,"9.0, 12.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Other coverage,10.9,"8.8, 13.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Uninsured,5,"3.9,  6.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Private,18.3,"16.9, 19.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Medicare and Medicaid,30.8,"25.8, 36.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Medicare Advantage,19.6,"17.8, 21.5","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Medicare only (no Advantage),22.5,"19.4, 25.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Other coverage,26.4,"22.8, 30.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Uninsured,999,,"Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Employed,5.3,"4.9,  5.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Not employed,15.3,"14.5, 16.1","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Full-time,5.2,"4.7,  5.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Part-time,5.9,"4.9,  7.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Not employed but has worked previously,15.8,"15.0, 16.6","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Not employed and has never worked,8.6,"6.0, 11.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Less than 100% FPL,13.3,"11.6, 15.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,100% to less than 200% FPL,12.8,"11.6, 14.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,200% and greater FPL,7.9,"7.5,  8.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,U.S.-born,8.8,"8.4,  9.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Foreign-born,11,"9.9, 12.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,With disability,25.7,"23.7, 27.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Without disability,7.7,"7.3,  8.1","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Gay/lesbian,7.7,"5.2, 10.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Straight,9.3,"8.9,  9.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Bisexual,2.9,"1.4,  5.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Little to no social vulnerability,7.8,"6.9,  8.6","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Low social vulnerability,8.7,"7.9,  9.5","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,Medium social vulnerability,9.7,"9.0, 10.4","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Diagnosed diabetes,High social vulnerability,10.7,"9.7, 11.6","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.",2020
Did not get needed mental health care due to cost,Total,4.3,"4.0,  4.6","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States",Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.,2020
Did not get needed mental health care due to cost,Male,2.7,"2.3,  3.1","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States",Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.,2020
